1,28
1,33
1,3
1,33
1,32
1,29
1,27
1,29
1,31
1,28
1,27
1,27
1,27
1,31
1,34
1,3
1,3
1,32
1,29
1,3
1,31
1,34
1,31
1,31
1,34
1,37
1,36
1,35
1,34
1,31
1,29
1,31
1,32
1,31
1,31
1,32
1,3
1,29
1,27
1,28
1,26
1,26
1,29
1,27
1,3
1,31
1,28
1,26
1,3
1,26
1,25
1,26
1,26
1,28
1,25
1,25
1,27
1,27
1,2
1,23
1,22
1,22
1,2
1,2
1,22
1,2
1,2
1,18
1,19
1,19
1,18
1,17
1,23
1,22
1,22
1,23
1,24
1,22
1,24
1,23
1,28
1,29
1,24
1,29
1,39
1,39
1,38
1,39
1,39
1,35
1,32
1,3
1,3
1,35
1,32
1,37
1,37
1,32
1,34
1,3
1,32
1,35
1,3
1,33
1,35
1,36
1,35
1,39
1,39
1,33
1,35
1,28
1,3
1,2
1,21
1,29
1,3
1,34
1,32
1,32
1,3
1,31
1,37
1,37
1,36
1,33
1,34
1,32
1,34
1,34
1,3
1,34
1,31
1,29
1,29
1,28
1,26
1,27
1,27
1,21
1,27
1,26
1,29
1,26
1,25
1,31
1,25
1,24
1,25
1,18
1,18
1,27
1,27
1,25
1,27
1,24
1,25
1,21
1,2
1,24
1,25
1,21
1,25
1,2
1,22
1,24
1,23
1,24
1,23
1,28
1,25
1,25
1,28
1,28
1,22
1,23
1,24
1,24
1,23
1,22
1,23
1,24
1,23
1,23
1,23
1,22
1,18
1,18
1,18
1,2
1,19
1,19
1,25
1,25
1,26
1,27
1,29
1,26
1,22
1,25
